Source URL,Destination URL,Status code
/china-to-austria-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-austria-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-belgium-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-belgium-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-bulgaria-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-bulgaria-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-croatia-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-croatia-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-czech-republic-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-czech-republic-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-denmark-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-denmark-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-estonia-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-estonia-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-finland-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-finland-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-france-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-france-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-germany-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-germany-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-greece-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-greece-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-hungary-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-hungary-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-ireland-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-ireland-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-italy-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-italy-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-latvia-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-latvia-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-lithuania-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-lithuania-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-luxembourg-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-luxembourg-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-netherlands-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-netherlands-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-poland-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-poland-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-portugal-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-portugal-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-romania-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-romania-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-slovakia-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-slovakia-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-slovenia-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-slovenia-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-spain-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-spain-shipping/,/china-to-europe-ddp-shipping.html,301
/china-to-sweden-shipping.html,/china-to-europe-ddp-shipping.html,301
/china-to-sweden-shipping/,/china-to-europe-ddp-shipping.html,301
